,beer_name,beer_style,beer_substyle,brewery_name,abv
1066,Cutlass Vienna-Style Lager,Dark Lagers,Vienna Lager,Heavy Seas Beer,5.4
1067,Dynamo Copper Lager,Dark Lagers,Vienna Lager,Metropolitan Brewing,5.8
1068,Rusty Chain,Dark Lagers,Vienna Lager,Flying Bison Brewing Company,5.2
1069,The Raven Special Lager,Dark Lagers,Vienna Lager,B.W. Beer Works USA,5.25
1070,Jenny Lake Lager,Dark Lagers,Vienna Lager,Snake River Brewing Company & Brewpub,4.8
1071,Churchville Lager,Dark Lagers,Vienna Lager,Neshaminy Creek Brewing Company,4.9
1072,1906 Reserva Especial,Dark Lagers,Vienna Lager,"Hijos De Rivera, S.A.",6.5
1073,Sunshine State FL-Lager.,Dark Lagers,Vienna Lager,Florida Beer Company,5.1
1074,Pietra (Amber),Dark Lagers,Vienna Lager,Brasserie Pietra,6.0
1075,Mac Queen's Nessie,Dark Lagers,Vienna Lager,Brauerei Schloss Eggenberg,5.0
1076,Lager,Dark Lagers,Vienna Lager,Lakewood Brewing Company,4.6
1077,Wild Hop Organic Amber Lager,Dark Lagers,Vienna Lager,Green Valley Brewing Company (Crooked Creek),0.0
1078,Oktoberfest,Dark Lagers,Vienna Lager,Hinterland Brewery Restaurant,6.0
1079,Ybor Gold Amber Lager,Dark Lagers,Vienna Lager,Florida Beer Company,4.6
1080,Menabrea Ambrata,Dark Lagers,Vienna Lager,Birra Menabrea SpA,5.0
1081,Bohemia Oscura,Dark Lagers,Vienna Lager,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",5.5
1082,Sublime Mexican Lager,Dark Lagers,Vienna Lager,AleSmith Brewing Company,5.2
1083,Saranac Winter Lager,Dark Lagers,Vienna Lager,Matt Brewing Company / Saranac Brewery,5.9
1084,Danish Red Lager,Dark Lagers,Vienna Lager,Figueroa Mountain Brewing Co.,5.0
1085,Shiner Bavarian Style Amber,Dark Lagers,Vienna Lager,Spoetzl Brewery,4.9
1086,Left Coast Una Mas Amber Lager,Dark Lagers,Vienna Lager,Left Coast Brewing Company,6.4
1087,Vienna Red Lager,Dark Lagers,Vienna Lager,Iron Hill Brewery & Restaurant,4.4
1088,Molson OV (Old Vienna),Dark Lagers,Vienna Lager,Molson Coors Canada,5.0
1089,Vienna-Style Amber Lager,Dark Lagers,Vienna Lager,Tommyknocker Brewery,5.5
1090,Dockside Amber Lager,Dark Lagers,Vienna Lager,Wagner Valley Brewing Co.,5.1
1091,Red Stallion,Dark Lagers,Vienna Lager,Crescent City Brewhouse,5.8
1092,Fat Cat Lager,Dark Lagers,Vienna Lager,The Fat Cat Beer Company,4.9
1093,Westfalia,Dark Lagers,Vienna Lager,Fort Point Beer Company,5.6
1094,Indians Lager,Dark Lagers,Vienna Lager,Sun King Brewing Company,5.4
1095,P.J.W. Copper Lager,Dark Lagers,Vienna Lager,Victory Brewing Company - Downingtown,5.6
1096,Tuborg Classic,Dark Lagers,Vienna Lager,Tuborgs Bryggerier A/S,4.6
1097,Trailhead Premium Lager,Dark Lagers,Vienna Lager,Wellington County Brewery,4.5
1098,Vienna Lager,Dark Lagers,Vienna Lager,Community Beer Company,5.2
1099,Cow Creek,Dark Lagers,Vienna Lager,Twisted X Brewing Company,5.4
1100,Spotted Cow,Hybrid Beers,American Cream Ale,New Glarus Brewing Company,4.8
1101,Summer Solstice,Hybrid Beers,American Cream Ale,Anderson Valley Brewing Company,5.0
1102,Genesee Cream Ale,Hybrid Beers,American Cream Ale,Genesee Brewing Co. / Dundee Brewing Co.,5.1
1103,Calm Before The Storm,Hybrid Beers,American Cream Ale,Ballast Point Brewing Company,5.5
1104,Wexford Irish Cream Ale,Hybrid Beers,American Cream Ale,Greene King / Morland Brewery,5.0
1105,Regular Coffee,Hybrid Beers,American Cream Ale,Carton Brewing Company,12.0
1106,Sunlight Cream Ale,Hybrid Beers,American Cream Ale,Sun King Brewing Company,5.3
1107,Golden Ale,Hybrid Beers,American Cream Ale,Terrapin Beer Company,5.0
1108,Cali Creamin' Vanilla Cream Ale,Hybrid Beers,American Cream Ale,Mother Earth Brew Co.,5.5
1109,Little Kings Cream Ale,Hybrid Beers,American Cream Ale,Hudepohl-Schoenling Brewing Co.,5.5
1110,Dayblazer,Hybrid Beers,American Cream Ale,New Belgium Brewing Company,4.8
1111,Carolina Blonde,Hybrid Beers,American Cream Ale,Foothills Brewing Company - Downtown Brewpub,4.3
1112,Caramel Cream Ale,Hybrid Beers,American Cream Ale,Due South Brewing Co.,5.0
1113,Kiwanda Cream Ale,Hybrid Beers,American Cream Ale,Pelican Pub & Brewery,5.4
1114,Derailed Black Cherry Cream Ale,Hybrid Beers,American Cream Ale,Erie Brewing Co.,5.0
1115,Muskoka Cream Ale,Hybrid Beers,American Cream Ale,Muskoka Brewery,5.0
1116,Cafe Y Churro,Hybrid Beers,American Cream Ale,Carton Brewing Company,12.0
1117,Kentucky Vanilla Barrel Cream Ale,Hybrid Beers,American Cream Ale,Alltech's Lexington Brewing and Distilling Co.,5.5
1118,Narragansett Cream Ale,Hybrid Beers,American Cream Ale,Narragansett Brewing Co.,5.0
1119,Cream Ale,Hybrid Beers,American Cream Ale,Hardywood Park Craft Brewery,4.4
1120,Funnel Cake,Hybrid Beers,American Cream Ale,Forgotten Boardwalk Brewing,5.5
1121,Sleeman Cream Ale (64*),Hybrid Beers,American Cream Ale,Sleeman Breweries Ltd.,5.0
1122,Flagship Ale,Hybrid Beers,American Cream Ale,Grey Sail Brewing of Rhode Island,4.9
1123,Irish Coffee,Hybrid Beers,American Cream Ale,Carton Brewing Company,12.0
1124,Stillwater Vanilla Cream Ale,Hybrid Beers,American Cream Ale,Thomas Creek Brewery,4.5
1125,El Murciélago,Hybrid Beers,American Cream Ale,Cigar City Brewing,9.5
1126,Croydon Cream Ale,Hybrid Beers,American Cream Ale,Neshaminy Creek Brewing Company,4.4
1127,Killer Whale Cream Ale,Hybrid Beers,American Cream Ale,Bold City Brewery,5.5
1128,SS-C.R.E.A.M,Hybrid Beers,American Cream Ale,Carton Brewing Company,8.4
1129,Cream Ale,Hybrid Beers,American Cream Ale,Newburgh Brewing Company,4.2
1130,Exposed,Hybrid Beers,American Cream Ale,Horny Goat Brewing Co.,4.9
1131,Wild Night Honey Cream Ale,Hybrid Beers,American Cream Ale,Swamp Head Brewery,5.9
1132,Grazias,Hybrid Beers,American Cream Ale,Mike Hess Brewing - Miramar,5.5
1133,Castle Cream Ale,Hybrid Beers,American Cream Ale,Castle Danger Brewery,5.3
1134,Suddenly Comfy,Hybrid Beers,American Cream Ale,Dogfish Head Craft Brewery,8.0
1135,Farmer Ted's Cream Ale,Hybrid Beers,American Cream Ale,Catawba Brewing Co.,5.6
1136,Grand Rabbits,Hybrid Beers,American Cream Ale,Blackrocks Brewery,5.5
1137,Slumbrew My Better Half,Hybrid Beers,American Cream Ale,Somerville Brewing Company (Slumbrew),7.4
1138,Henry Weinhard's Blue Boar Ale,Hybrid Beers,American Cream Ale,Blitz-Weinhard Brewing Co.,4.6
1139,Anthem Golden Ale,Hybrid Beers,American Cream Ale,Union Craft Brewing Company,5.0
1140,Dome Faux'm Throwback Cream Ale,Hybrid Beers,American Cream Ale,8th Wonder Brewery,5.1
1141,Ermal's Belgian Style Cream Ale,Hybrid Beers,American Cream Ale,Warped Wing Brewing Company,5.4
1142,Outboard,Hybrid Beers,American Cream Ale,Milwaukee Brewing Company,5.0
1143,Fallen Apple,Hybrid Beers,American Cream Ale,Furthermore Beer,6.2
1144,The Lawn Ranger Cream Ale,Hybrid Beers,American Cream Ale,Cedar Creek Brewery,5.0
1145,Carolina Strawberry,Hybrid Beers,American Cream Ale,Foothills Brewing Company - Downtown Brewpub,4.3
1146,Shiner Homespun Cream Ale,Hybrid Beers,American Cream Ale,Spoetzl Brewery,5.0
1147,Cosmic Cream Ale,Hybrid Beers,American Cream Ale,Cameron's Brewing Co.,5.0
1148,Canyon Cream Ale,Hybrid Beers,American Cream Ale,Crow Peak Brewing,5.0
1149,Cream Ale,Hybrid Beers,American Cream Ale,Empire Brewing Company - Brewpub,5.8
1150,DeuS (Brut Des Flandres),Hybrid Beers,Bière de Champagne / Bière Brut,Brouwerij Bosteels,11.5
1151,Nelson Sauvignon (Nelson Sauvin Brut),Hybrid Beers,Bière de Champagne / Bière Brut,Mikkeller ApS,9.0
1152,Blanc De Blancs,Hybrid Beers,Bière de Champagne / Bière Brut,Side Project Brewing,10.0
1153,Malheur Bière Brut (Brut Reserve),Hybrid Beers,Bière de Champagne / Bière Brut,Brouwerij De Landtsheer NV,12.0
1154,Malheur Brut Noir (Black Chocolate),Hybrid Beers,Bière de Champagne / Bière Brut,Brouwerij De Landtsheer NV,12.0
1155,Krait Prestige,Hybrid Beers,Bière de Champagne / Bière Brut,Cobra Beer Partnership Limited,8.0
1156,Jubilee,Hybrid Beers,Bière de Champagne / Bière Brut,Victory Brewing Company - Downingtown,12.0
1157,Eisenbahn Lust,Hybrid Beers,Bière de Champagne / Bière Brut,Cervejaria Sudbrack Ltda,11.5
1158,Belle,Hybrid Beers,Bière de Champagne / Bière Brut,Devil's Canyon Brewing Company,6.0
1159,Kasteel Cru,Hybrid Beers,Bière de Champagne / Bière Brut,Brasserie Licorne,5.2
1160,Bobasa,Hybrid Beers,Bière de Champagne / Bière Brut,Oxbow Brewing Company,6.5
1161,Kortrijk-dUtsel,Hybrid Beers,Bière de Champagne / Bière Brut,Brouwerij Kortrijk-Dutsel,8.9
1162,Sparkling Rose Ale,Hybrid Beers,Bière de Champagne / Bière Brut,Forbidden Root Restaurant & Brewery,10.5
1163,Insel Kreide,Hybrid Beers,Bière de Champagne / Bière Brut,Rügener Insel Brauerei GmbH,5.5
1164,Panil Enhanced (Final),Hybrid Beers,Bière de Champagne / Bière Brut,Panil,8.2
1165,Buzzerkeley Barrel Project - Dry Creek Zinfandel,Hybrid Beers,Bière de Champagne / Bière Brut,Calicraft Brewing Co.,8.5
1166,Prost Secco,Hybrid Beers,Bière de Champagne / Bière Brut,Baxter Brewing Co.,5.3
1167,Shamps,Hybrid Beers,Bière de Champagne / Bière Brut,Transient Artisan Ales,12.0
1168,Šamp - Pivní Sekt,Hybrid Beers,Bière de Champagne / Bière Brut,Pivovarský dům,5.0
1169,Brew Secco,Hybrid Beers,Bière de Champagne / Bière Brut,Handbrauerei Gerhard Forstner,10.5
1170,Buzzerkeley Red Label,Hybrid Beers,Bière de Champagne / Bière Brut,Calicraft Brewing Co.,7.7
1171,Eisenbahn Lust Prestige,Hybrid Beers,Bière de Champagne / Bière Brut,Cervejaria Sudbrack Ltda,11.5
1172,Brasserie Lion 8,Hybrid Beers,Bière de Champagne / Bière Brut,Brasserie Lion,8.0
1173,BamaMosa,Hybrid Beers,Bière de Champagne / Bière Brut,Back Forty Beer Co.,7.0
1174,Brut,Hybrid Beers,Bière de Champagne / Bière Brut,Brouwerij De Vlier,8.0
1175,Malheur Extra Brut,Hybrid Beers,Bière de Champagne / Bière Brut,Brouwerij De Landtsheer NV,11.0
1176,Peach Bellini,Hybrid Beers,Bière de Champagne / Bière Brut,Central Waters Brewing Co.,6.75
1177,Kasteel Cru Rose,Hybrid Beers,Bière de Champagne / Bière Brut,Brasserie Licorne,5.0
1178,Ferme Framboos,Hybrid Beers,Bière de Champagne / Bière Brut,Brouwerij De Vlier,8.0
1179,Salut!,Hybrid Beers,Bière de Champagne / Bière Brut,Old Bisbee Brewing Company,5.4
1180,Wäls Brut,Hybrid Beers,Bière de Champagne / Bière Brut,Cervejaria Wäls,11.0
1181,Chambrew,Hybrid Beers,Bière de Champagne / Bière Brut,Jaks Brewing Co.,9.7
1182,Blackberry Brut,Hybrid Beers,Bière de Champagne / Bière Brut,Barrel + Beam,11.5
1183,Drone Witch,Hybrid Beers,Bière de Champagne / Bière Brut,Heirloom Rustic Ales,6.6
1184,Double Vienna Brut,Hybrid Beers,Bière de Champagne / Bière Brut,Morada Cia Etílica,11.5
1185,Bière Brut,Hybrid Beers,Bière de Champagne / Bière Brut,Cloudwater Brew Co.,6.0
1186,Barn Teaser,Hybrid Beers,Bière de Champagne / Bière Brut,Tired Hands Brewing Company,4.6
1187,Kveik Brut,Hybrid Beers,Bière de Champagne / Bière Brut,Fossil Craft Beer Company,6.8
1188,Feral Brut,Hybrid Beers,Bière de Champagne / Bière Brut,Firestone Walker Brewing Co.,0.0
1189,Brut Force,Hybrid Beers,Bière de Champagne / Bière Brut,Ahnapee Brewery,13.5
1190,Brut La Grande,Hybrid Beers,Bière de Champagne / Bière Brut,Bruz Beers,12.1
1191,Queen City Brut,Hybrid Beers,Bière de Champagne / Bière Brut,Barrel + Beam,11.5
1192,Coco d'Or,Hybrid Beers,Bière de Champagne / Bière Brut,SchwarzwaldGold Braumanufaktur,8.5
1193,Bretted Bitter,Hybrid Beers,Bière de Champagne / Bière Brut,Cloudwater Brew Co.,4.3
1194,Larkspur,Hybrid Beers,Bière de Champagne / Bière Brut,Brewery Bhavana,10.5
1195,In Safe Keeping,Hybrid Beers,Bière de Champagne / Bière Brut,Hardywood Park Craft Brewery,7.0
1196,Rhus,Hybrid Beers,Bière de Champagne / Bière Brut,Birds Fly South Ale Project,3.39
1197,Champagne Ale,Hybrid Beers,Bière de Champagne / Bière Brut,Franconia Brewing Company,0.0
1198,Blueberry Brut,Hybrid Beers,Bière de Champagne / Bière Brut,Yellow Bridge Brewing,5.8
1199,Brut Double IPA,Hybrid Beers,Bière de Champagne / Bière Brut,North High Brewing Company,8.0
1200,Samuel Adams Honey Queen,Hybrid Beers,Braggot,Boston Beer Company (Samuel Adams),7.5
1201,Rogue Farms Marionberry Braggot,Hybrid Beers,Braggot,Rogue Ales,11.42
1202,Brother Adam's Bragget Ale,Hybrid Beers,Braggot,Atlantic Brewing Company / Mainely Meat BBQ,11.8
1203,Exit 3 Blueberry Braggot,Hybrid Beers,Braggot,Flying Fish Brewing Company,15.0
1204,Braggot,Hybrid Beers,Braggot,Kuhnhenn Brewing Company,12.8
1205,Baklava Braggot,Hybrid Beers,Braggot,Jackie O's Pub & Brewery,8.0
1206,Nepenthes Hydromelita,Hybrid Beers,Braggot,OEC Brewing (Ordinem Ecentrici Coctores),8.5
1207,Miel Sauvage,Hybrid Beers,Braggot,Bayou Teche Brewery,9.0
1208,Slippery Slope,Hybrid Beers,Braggot,The People's Pint,9.8
1209,Pioneer Po-Cha-Na-Quar-Hip Braggot,Hybrid Beers,Braggot,The Lone Pint Brewery,10.0
1210,Old Danish Braggot,Hybrid Beers,Braggot,Dansk Mjød A/S,10.1
1211,Portsmouth Killer B,Hybrid Beers,Braggot,Portsmouth Brewery,9.8
1212,Grandis Hydromelita,Hybrid Beers,Braggot,OEC Brewing (Ordinem Ecentrici Coctores),12.0
1213,Beyond Braggot,Hybrid Beers,Braggot,Sprecher Brewing Company,11.0
1214,St. Gail Raspberry Braggot,Hybrid Beers,Braggot,Lakes & Legends Brewing Company,7.2
1215,Artisan Series - West Bound Braggot,Hybrid Beers,Braggot,Twisted Pine Brewing Company,8.5
1216,Biere De Miele,Hybrid Beers,Braggot,Rabbit's Foot Meadery,4.2
1217,Venomous,Hybrid Beers,Braggot,Allentown Brew Works,9.0
1218,Mjød,Hybrid Beers,Braggot,Valkyrie Brewing,0.0
1219,Qing Ming,Hybrid Beers,Braggot,Off Color Brewing,9.5
1220,Eirik Bloodaxe,Hybrid Beers,Braggot,Scarlet Lane Brewing Company,11.0
1221,Dewi Sant,Hybrid Beers,Braggot,Strange Land Brewery,13.5
1222,Baklava Braggot,Hybrid Beers,Braggot,Funky Buddha Brewery,10.6
1223,Lanark Blueberry Mead,Hybrid Beers,Braggot,All or Nothing Brewhouse,8.5
1224,Premium Oak Brackett,Hybrid Beers,Braggot,"White Winter Winery, Inc.",10.0
1225,Hopped Toddy,Hybrid Beers,Braggot,Trinity Brewing Company,13.8
1226,Kotbusser,Hybrid Beers,Braggot,Rapp Brewing Company,6.1
1227,Belgian Style Texas Honey Ale,Hybrid Beers,Braggot,Guadalupe Brewing Co.,7.75
1228,Hummingbird,Hybrid Beers,Braggot,Mountain Sun Pub & Brewery,8.0
1229,Hoppin' Honey,Hybrid Beers,Braggot,Rooftop Brewing Company,11.2
1230,Niagara Peach Mead,Hybrid Beers,Braggot,All or Nothing Brewhouse,8.5
1231,Braggot,Hybrid Beers,Braggot,Crabtree Brewing Company,7.85
1232,Honey Bunch,Hybrid Beers,Braggot,The Alchemist,8.8
1233,Big Ass Barrel Braggot,Hybrid Beers,Braggot,Rogue Ales,0.0
1234,Melisseus,Hybrid Beers,Braggot,Wicked Weed Brewing,6.2
1235,Bob's Memorial Braggot,Hybrid Beers,Braggot,The New Old Lompoc,7.0
1236,Ghost Bees - Apple Brandy Barrel-Aged,Hybrid Beers,Braggot,Black Acre Brewing Co.,15.6
1237,Fenrir,Hybrid Beers,Braggot,Viking Braggot Company,6.6
1238,Reverence,Hybrid Beers,Braggot,Viking Braggot Company,6.3
1239,Barrel Aged Series: Braggot,Hybrid Beers,Braggot,Parallel 49 Brewing Company,10.2
1240,Goemon's Gold,Hybrid Beers,Braggot,Outlaw Brewing,6.6
1241,Killer Bee (Double Honey Ale),Hybrid Beers,Braggot,Scantic River Brewery,8.5
1242,White Winter Brackett,Hybrid Beers,Braggot,"White Winter Winery, Inc.",5.0
1243,"Honey, I Can Explain",Hybrid Beers,Braggot,South Street Brewery,7.0
1244,Biere De Miel,Hybrid Beers,Braggot,Tributary Brewing Co.,8.5
1245,Saku Mõdu,Hybrid Beers,Braggot,Saku Brewery LTD,4.0
1246,Honey Braggot,Hybrid Beers,Braggot,Atlantic Brewing Company / Mainely Meat BBQ,10.5
1247,Devil's Footprint,Hybrid Beers,Braggot,Bog Iron Brewing,10.5
1248,Battle Axe,Hybrid Beers,Braggot,Viking Braggot Company,7.7
1249,Spring Braggot,Hybrid Beers,Braggot,Craftsman Brewing Co.,7.5
1250,Anchor Steam Beer,Hybrid Beers,California Common / Steam Beer,Anchor Brewing Company,4.9
1251,Dorothy's New World Lager,Hybrid Beers,California Common / Steam Beer,Toppling Goliath Brewing Company,5.5
1252,Brotherhood Steam,Hybrid Beers,California Common / Steam Beer,Anchor Brewing Company,5.6
1253,Tarnation California-Style Lager,Hybrid Beers,California Common / Steam Beer,Baxter Brewing Co.,5.3
1254,Columbia Common,Hybrid Beers,California Common / Steam Beer,Widmer Brothers Brewing Company,4.7
1255,Oscura,Hybrid Beers,California Common / Steam Beer,Furthermore Beer,5.3
1256,Dampf Loc,Hybrid Beers,California Common / Steam Beer,Local Option,5.3
1257,Anchor Steam Beer - Dry-Hopped,Hybrid Beers,California Common / Steam Beer,Anchor Brewing Company,5.4
1258,East Coast Common Lager,Hybrid Beers,California Common / Steam Beer,Smuttynose Brewing Company,7.4
1259,Steam Engine Lager,Hybrid Beers,California Common / Steam Beer,Steamworks Brewing Co.,5.5
1260,District Common,Hybrid Beers,California Common / Steam Beer,Atlas Brew Works,5.1
1261,Village Reserve,Hybrid Beers,California Common / Steam Beer,Short's Brewing Company,4.7
1262,Hop Common,Hybrid Beers,California Common / Steam Beer,Peekskill Brewery,5.7
1263,Derecho,Hybrid Beers,California Common / Steam Beer,Port City Brewing,4.8
1264,Element 115,Hybrid Beers,California Common / Steam Beer,St. Paul Brewing,5.5
1265,The Citizen,Hybrid Beers,California Common / Steam Beer,Cismontane Brewing Company,6.0
1266,Catahoula Common,Hybrid Beers,California Common / Steam Beer,Gnarly Barley Brewing Company,5.7
1267,Skjálfti,Hybrid Beers,California Common / Steam Beer,Ölvisholt Brugghús,5.0
1268,Mountain Goat Steam Ale,Hybrid Beers,California Common / Steam Beer,Mountain Goat Beer Pty Ltd,4.5
1269,Pomona Queen,Hybrid Beers,California Common / Steam Beer,Last Name Brewing,4.9
1270,Rio Grande Outlaw Lager,Hybrid Beers,California Common / Steam Beer,Sierra Blanca Brewing Company (Rio Grande),5.2
1271,Steamy Windows,Hybrid Beers,California Common / Steam Beer,Liberty Street Brewing Company,5.6
1272,Common Man Special Lager,Hybrid Beers,California Common / Steam Beer,Three Heads Brewing,5.5
1273,Rocket Bike American Lager,Hybrid Beers,California Common / Steam Beer,Moab Brewery,4.0
1274,Big Boca Ale,Hybrid Beers,California Common / Steam Beer,Fat Point Brewing,5.1
1275,Boston Common,Hybrid Beers,California Common / Steam Beer,Boston Beer Works - Canal Street,5.0
1276,Mosquito Beach,Hybrid Beers,California Common / Steam Beer,Lake Louie Brewery Company,6.0
1277,Simple,Hybrid Beers,California Common / Steam Beer,Barrier Brewing Company,5.2
1278,Portsmouth Brewing Red Bird Ale,Hybrid Beers,California Common / Steam Beer,Portsmouth Brewing Co. / Mault's Brewpub,4.8
1279,Pi Common,Hybrid Beers,California Common / Steam Beer,The Schlafly Tap Room,5.0
1280,33 Acres Of Life,Hybrid Beers,California Common / Steam Beer,33 Acres Brewing Co.,4.8
1281,Steamhead,Hybrid Beers,California Common / Steam Beer,Aviator Brewing Company,5.8
1282,Steemboat,Hybrid Beers,California Common / Steam Beer,Sunken City Brewing Company,5.6
1283,St. Florian's California Common,Hybrid Beers,California Common / Steam Beer,St. Florian's Brewery,6.0
1284,Ampere Amber,Hybrid Beers,California Common / Steam Beer,Tin Whiskers Brewing Company,4.2
1285,1888,Hybrid Beers,California Common / Steam Beer,Anaheim Brewery,5.5
1286,Virginia Common,Hybrid Beers,California Common / Steam Beer,Ardent Craft Ales,5.3
1287,Urban People's Common Lager,Hybrid Beers,California Common / Steam Beer,Linden Street Brewery,5.5
1288,Aftershock,Hybrid Beers,California Common / Steam Beer,Palmetto Brewing Company,6.4
1289,Chesapeake Common Lager,Hybrid Beers,California Common / Steam Beer,Key Brewing Co.,4.8
1290,Northtown Native,Hybrid Beers,California Common / Steam Beer,Cinder Block Brewery,5.0
1291,Common Sense,Hybrid Beers,California Common / Steam Beer,Berryessa Brewing Co,4.5
1292,Dampf Punk,Hybrid Beers,California Common / Steam Beer,Switchback Brewing Company,5.8
1293,Big Sky Uncommon Lager,Hybrid Beers,California Common / Steam Beer,Whistler Brewing Company,5.0
1294,Yoerg's Beer,Hybrid Beers,California Common / Steam Beer,Yoerg Brewing Company,4.9
1295,Derby Lager,Hybrid Beers,California Common / Steam Beer,Pike Brewing Company,5.5
1296,Slingshot,Hybrid Beers,California Common / Steam Beer,Radical Road Brewing Co.,5.0
1297,Tragedy Of The Common,Hybrid Beers,California Common / Steam Beer,Iowa Brewing Company,4.9
1298,Westy,Hybrid Beers,California Common / Steam Beer,Sun King Brewing Company,6.7
1299,Lug Nut Lager,Hybrid Beers,California Common / Steam Beer,Skyscraper Brewing Company,5.2
1300,Brut IPA,India Pale Ales,American Brut IPA,Sierra Nevada Brewing Co.,6.2
1301,Enjoy By Brüt IPA,India Pale Ales,American Brut IPA,Stone Brewing,9.4
1302,Brut IPA,India Pale Ales,American Brut IPA,Brewery Ommegang,6.5
1303,Sparkler,India Pale Ales,American Brut IPA,Sixpoint Brewery,7.0
1304,Civilized Brut IPA,India Pale Ales,American Brut IPA,Founders Brewing Company,6.0
1305,B-43,India Pale Ales,American Brut IPA,Old Nation Brewing Co.,7.0
1306,Brut-Hero,India Pale Ales,American Brut IPA,Revolution Brewing,7.0
1307,Brut IPA,India Pale Ales,American Brut IPA,Anderson Valley Brewing Company,6.8
1308,Brut IPA,India Pale Ales,American Brut IPA,Ballast Point Brewing Company,7.0
1309,Juicy Brut,India Pale Ales,American Brut IPA,Short's Brewing Company,4.2
1310,Moral Panic,India Pale Ales,American Brut IPA,Ska Brewing Co.,5.75
1311,The Brut Squad,India Pale Ales,American Brut IPA,Fair State Brewing Cooperative,6.1
1312,Hoppin' Bubbly,India Pale Ales,American Brut IPA,Terrapin Beer Company,6.5
1313,Dry & Mighty,India Pale Ales,American Brut IPA,Two Roads Brewing Company,6.8
1314,Rouge,India Pale Ales,American Brut IPA,Rogue Ales,7.5
1315,Caged Wisdom,India Pale Ales,American Brut IPA,Odd Side Ales,6.8
1316,Moonwalk Brut IPA,India Pale Ales,American Brut IPA,Real Ale Brewing Company,6.2
1317,Liquid Stardust,India Pale Ales,American Brut IPA,Surly Brewing Company,7.0
1318,Batch 10000,India Pale Ales,American Brut IPA,Short's Brewing Company,14.2
1319,Extra Extra Double Brut IPA,India Pale Ales,American Brut IPA,Stillwater Artisanal Ales,8.0
1320,Brut IPA,India Pale Ales,American Brut IPA,Devils Backbone Brewing Company,7.0
1321,Black Tie Optional,India Pale Ales,American Brut IPA,Kane Brewing Company,6.4
1322,Daymaker,India Pale Ales,American Brut IPA,Karbach Brewing Co.,6.0
1323,Stratosbeer,India Pale Ales,American Brut IPA,Abita Brewing Co.,7.0
1324,Brut IPA,India Pale Ales,American Brut IPA,Free Will Brewing Co.,7.1
1325,Fizzy Bizness,India Pale Ales,American Brut IPA,Victory Brewing Company - Downingtown,7.2
1326,Black Tie Required,India Pale Ales,American Brut IPA,Kane Brewing Company,6.8
1327,Rinse / Repeat - Brut IPA With Citra & Mosaic,India Pale Ales,American Brut IPA,Westbrook Brewing Co.,6.7
1328,Brütiful Day,India Pale Ales,American Brut IPA,AleSmith Brewing Company,7.2
1329,Brut IPA,India Pale Ales,American Brut IPA,4 Hands Brewing Co.,6.5
1330,Dry Skies,India Pale Ales,American Brut IPA,Ninkasi Brewing Company,6.8
1331,Rinse / Repeat - Brut IPA With Galaxy,India Pale Ales,American Brut IPA,Westbrook Brewing Co.,7.0
1332,Champion Brut,India Pale Ales,American Brut IPA,Brewery Vivant,7.0
1333,Brut IPA,India Pale Ales,American Brut IPA,Avery Brewing Company,7.0
1334,CUT ONCE,India Pale Ales,American Brut IPA,Industrial Arts Brewing Company,7.0
1335,Fancy Stuff,India Pale Ales,American Brut IPA,Matchless Brewing,6.6
1336,Ten Tickles,India Pale Ales,American Brut IPA,Short's Brewing Company,7.8
1337,Champagne Hopi,India Pale Ales,American Brut IPA,Alvarado Street Brewery,7.3
1338,Mello Hello,India Pale Ales,American Brut IPA,Platform Beer Co.,5.4
1339,Mighty Cascade,India Pale Ales,American Brut IPA,Federal Jack's Restaurant & Brew Pub,5.4
1340,Brutal Doodz,India Pale Ales,American Brut IPA,Pipeworks Brewing Company,7.0
1341,Hang Six,India Pale Ales,American Brut IPA,Rhinegeist Brewery,6.6
1342,Brut Rose IPA,India Pale Ales,American Brut IPA,Untitled Art,7.0
1343,Shiner Brewers Pride Brut IPA,India Pale Ales,American Brut IPA,Spoetzl Brewery,6.8
1344,Brut of All Evil,India Pale Ales,American Brut IPA,4th Tap Brewing Co-op,6.5
1345,MFIPA: Mosaic Brut,India Pale Ales,American Brut IPA,Paradox Beer Company,5.8
1346,Brut-Y Pellets,India Pale Ales,American Brut IPA,Great Heights Brewing Company,6.5
1347,Juicy Contradiction,India Pale Ales,American Brut IPA,Odd Side Ales,7.5
1348,Cosmic Ocean,India Pale Ales,American Brut IPA,Coronado Brewing Company,7.0
1349,Tickle,India Pale Ales,American Brut IPA,4204 Main Street Brewing Co.,7.9
1350,90 Minute IPA,India Pale Ales,American Imperial IPA,Dogfish Head Craft Brewery,9.0
1351,Pliny The Elder,India Pale Ales,American Imperial IPA,Russian River Brewing Company,8.0
1352,Hopslam Ale,India Pale Ales,American Imperial IPA,Bell's Brewery - Eccentric Café & General Store,10.0
1353,Enjoy By IPA,India Pale Ales,American Imperial IPA,Stone Brewing,9.4
1354,Lagunitas Sucks,India Pale Ales,American Imperial IPA,Lagunitas Brewing Company,7.85
1355,120 Minute IPA,India Pale Ales,American Imperial IPA,Dogfish Head Craft Brewery,18.0
1356,West Coast IPA,India Pale Ales,American Imperial IPA,Green Flash Brewing Co.,8.1
1357,Hop Stoopid,India Pale Ales,American Imperial IPA,Lagunitas Brewing Company,8.0
